year,scenario,incident_patients_per_year,pd_suitable_share,eligible_patients_per_year,pd_uptake,hd_uptake,notes,source_key,source_title,source_url,data_origin,pd_new_starts,hd_new_starts,incremental_pd_uptake_vs_current,incremental_pd_new_starts_vs_current,pd_new_starts_rounded,hd_new_starts_rounded,incremental_pd_new_starts_rounded
2026.0,current_practice,2190.0,0.6,1314.0,0.19,0.81,Counterfactual scenario keeps PD uptake constant at the current policy anchor.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,249.66,1064.3400000000001,0.0,0.0,250,1064,0
2026.0,low_pd_adoption,2190.0,0.6,1314.0,0.21,0.79,Conservative increase in PD uptake below the 30% policy target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,275.94,1038.06,0.01999999999999999,26.279999999999987,276,1038,26
2026.0,base_pd_adoption,2190.0,0.6,1314.0,0.22,0.78,Base scenario reaches the 30% PD uptake target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,289.08,1024.92,0.03,39.42,289,1025,39
2026.0,high_pd_adoption,2190.0,0.6,1314.0,0.25,0.75,"Ambitious scenario exceeds the 30% target, used to test budget impact under stronger uptake.",MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,328.5,985.5,0.06,78.84,328,986,79
2027.0,current_practice,2190.0,0.6,1314.0,0.19,0.81,Counterfactual scenario keeps PD uptake constant at the current policy anchor.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,249.66,1064.3400000000001,0.0,0.0,250,1064,0
2027.0,low_pd_adoption,2190.0,0.6,1314.0,0.23,0.77,Conservative increase in PD uptake below the 30% policy target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,302.22,1011.78,0.04000000000000001,52.56000000000001,302,1012,53
2027.0,base_pd_adoption,2190.0,0.6,1314.0,0.24,0.76,Base scenario reaches the 30% PD uptake target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,315.36,998.64,0.04999999999999999,65.69999999999999,315,999,66
2027.0,high_pd_adoption,2190.0,0.6,1314.0,0.3,0.7,"Ambitious scenario exceeds the 30% target, used to test budget impact under stronger uptake.",MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,394.2,919.8,0.10999999999999999,144.54,394,920,145
2028.0,current_practice,2190.0,0.6,1314.0,0.19,0.81,Counterfactual scenario keeps PD uptake constant at the current policy anchor.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,249.66,1064.3400000000001,0.0,0.0,250,1064,0
2028.0,low_pd_adoption,2190.0,0.6,1314.0,0.25,0.75,Conservative increase in PD uptake below the 30% policy target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,328.5,985.5,0.06,78.84,328,986,79
