strategy,cycle,start_cycle,cost,qalys,life_years,undiscounted_cost,undiscounted_qalys,undiscounted_life_years,discount_factor_costs,discount_factor_qalys,cohort_start_year,calendar_year,pd_uptake_at_start,cohort_size,comparison_group,bia_scenario
low_pd_adoption,1,0,44437377.6,773.1576,1314.0,44437377.6,773.1576,1314.0,1.0,1.0,2026,2026,0.21,1314.0,scenario,low_pd_adoption
low_pd_adoption,2,1,39692849.471999995,678.3104519999998,1156.32,39692849.471999995,678.3104519999998,1156.32,1.0,1.0,2026,2027,0.21,1314.0,scenario,low_pd_adoption
low_pd_adoption,3,2,35360884.44143999,595.36809144,1017.5615999999999,35360884.44143999,595.36809144,1017.5615999999999,1.0,1.0,2026,2028,0.21,1314.0,scenario,low_pd_adoption
low_pd_adoption,4,3,31434049.750636794,522.7652870387999,895.4542079999999,31434049.750636794,522.7652870387999,895.4542079999999,1.0,1.0,2026,2029,0.21,1314.0,scenario,low_pd_adoption
low_pd_adoption,5,4,27894477.63498033,459.1609361325359,787.9997030399998,27894477.63498033,459.1609361325359,787.9997030399998,1.0,1.0,2026,2030,0.21,1314.0,scenario,low_pd_adoption
low_pd_adoption,1,0,43939108.8,774.2087999999999,1314.0,43939108.8,774.2087999999999,1314.0,1.0,1.0,2027,2027,0.23,1314.0,scenario,low_pd_adoption
low_pd_adoption,2,1,39334095.936000004,678.988476,1156.32,39334095.936000004,678.988476,1156.32,1.0,1.0,2027,2028,0.23,1314.0,scenario,low_pd_adoption
low_pd_adoption,3,2,35103329.29872,595.78531272,1017.5616,35103329.29872,595.78531272,1017.5616,1.0,1.0,2027,2029,0.23,1314.0,scenario,low_pd_adoption
low_pd_adoption,4,3,31249805.892998397,523.0022280444,895.454208,31249805.892998397,523.0022280444,895.454208,1.0,1.0,2027,2030,0.23,1314.0,scenario,low_pd_adoption
low_pd_adoption,1,0,43440840.0,775.2599999999999,1314.0,43440840.0,775.2599999999999,1314.0,1.0,1.0,2028,2028,0.25,1314.0,scenario,low_pd_adoption
low_pd_adoption,2,1,38975342.4,679.6665,1156.32,38975342.4,679.6665,1156.32,1.0,1.0,2028,2029,0.25,1314.0,scenario,low_pd_adoption
low_pd_adoption,3,2,34845774.156,596.202534,1017.5616,34845774.156,596.202534,1017.5616,1.0,1.0,2028,2030,0.25,1314.0,scenario,low_pd_adoption
low_pd_adoption,1,0,43191705.6,775.7855999999999,1314.0,43191705.6,775.7855999999999,1314.0,1.0,1.0,2029,2029,0.26,1314.0,scenario,low_pd_adoption
low_pd_adoption,2,1,38795965.632,680.005512,1156.32,38795965.632,680.005512,1156.32,1.0,1.0,2029,2030,0.26,1314.0,scenario,low_pd_adoption
low_pd_adoption,1,0,42942571.2,776.3112,1314.0,42942571.2,776.3112,1314.0,1.0,1.0,2030,2030,0.27,1314.0,scenario,low_pd_adoption
current_practice,1,0,44935646.400000006,772.1064000000001,1314.0000000000002,44935646.400000006,772.1064000000001,1314.0000000000002,1.0,1.0,2026,2026,0.19,1314.0,current_practice,low_pd_adoption
current_practice,2,1,40051603.008000016,677.632428,1156.3200000000002,40051603.008000016,677.632428,1156.3200000000002,1.0,1.0,2026,2027,0.19,1314.0,current_practice,low_pd_adoption
current_practice,3,2,35618439.58416001,594.9508701600001,1017.5616000000002,35618439.58416001,594.9508701600001,1017.5616000000002,1.0,1.0,2026,2028,0.19,1314.0,current_practice,low_pd_adoption
current_practice,4,3,31618293.608275205,522.5283460332,895.4542080000001,31618293.608275205,522.5283460332,895.4542080000001,1.0,1.0,2026,2029,0.19,1314.0,current_practice,low_pd_adoption
current_practice,5,4,28025694.53606031,459.0468077585041,787.9997030400002,28025694.53606031,459.0468077585041,787.9997030400002,1.0,1.0,2026,2030,0.19,1314.0,current_practice,low_pd_adoption
