calendar_year,scenario_cost,scenario_qalys,scenario_life_years,current_cost,current_qalys,current_life_years,scenario,incremental_cost,incremental_qalys,incremental_life_years,cumulative_incremental_cost,cumulative_incremental_qalys
2026,44437377.6,773.1576,1314.0,44935646.400000006,772.1064000000001,1314.0000000000002,low_pd_adoption,-498268.80000000447,1.0511999999998807,-2.2737367544323206e-13,-498268.80000000447,1.0511999999998807
2027,83631958.27199998,1452.5192519999996,2470.3199999999997,84987249.40800002,1449.738828,2470.3200000000006,low_pd_adoption,-1355291.1360000372,2.7804239999995843,-9.094947017729282e-13,-1853559.9360000417,3.831623999999465
2028,118135820.37744,2049.61656744,3487.8815999999997,120605688.99216002,2044.6896981600003,3487.8816000000006,low_pd_adoption,-2469868.6147200167,4.926869279999664,-9.094947017729282e-13,-4323428.550720058,8.75849327999913
2029,148704427.0493568,2574.0026997587997,4383.335808,152223982.60043523,2567.2180441932005,4383.335808000001,low_pd_adoption,-3519555.5510784388,6.784655565599223,-9.094947017729282e-13,-7842984.101798497,15.543148845598353
2030,175728594.51597872,3034.6824101769357,5171.33551104,180249677.13649553,3026.2648519517043,5171.335511040001,low_pd_adoption,-4521082.620516807,8.41755822523146,-9.094947017729282e-13,-12364066.722315304,23.960707070829812
2026,44188243.2,773.6832,1314.0,44935646.400000006,772.1064000000001,1314.0000000000002,base_pd_adoption,-747403.200000003,1.5767999999999347,-2.2737367544323206e-13,-747403.200000003,1.5767999999999347
2027,83203447.104,1453.383864,2470.3199999999997,84987249.40800002,1449.738828,2470.3200000000006,base_pd_adoption,-1783802.30400002,3.645035999999891,-9.094947017729282e-13,-2531205.504000023,5.221835999999826
2028,117578531.63808,2050.68979008,3487.8815999999997,120605688.99216002,2044.6896981600003,3487.8816000000006,base_pd_adoption,-3027157.3540800214,6.000091919999704,-9.094947017729282e-13,-5558362.858080044,11.22192791999953
2029,147805881.9811776,2575.7199929015997,4383.335808,152223982.60043523,2567.2180441932005,4383.335808000001,base_pd_adoption,-4418100.619257629,8.50194870839914,-9.094947017729282e-13,-9976463.477337673,19.72387662839867
2030,174335929.82925954,3037.321379506752,5171.33551104,180249677.13649553,3026.2648519517043,5171.335511040001,base_pd_adoption,-5913747.307235986,11.056527555047523,-9.094947017729282e-13,-15890210.78457366,30.780404183446194
2026,43440840.0,775.2599999999999,1314.0,44935646.400000006,772.1064000000001,1314.0000000000002,high_pd_adoption,-1494806.400000006,3.1535999999997557,-2.2737367544323206e-13,-1494806.400000006,3.1535999999997557
2027,81170510.4,1457.5545,2470.3199999999997,84987249.40800002,1449.738828,2470.3200000000006,high_pd_adoption,-3816739.008000016,7.8156719999999495,-9.094947017729282e-13,-5311545.408000022,10.969271999999705
2028,114122863.116,2057.554494,3487.8815999999997,120605688.99216002,2044.6896981600003,3487.8816000000006,high_pd_adoption,-6482825.876160026,12.864795839999715,-9.094947017729282e-13,-11794371.284160048,23.83406783999942
2029,143079627.02256,2584.76956425,4383.335808,152223982.60043523,2567.2180441932005,4383.335808000001,high_pd_adoption,-9144355.577875227,17.55152005679929,-9.094947017729282e-13,-20938726.862035275,41.38558789679871
2030,168450417.4218444,3048.1793882045995,5171.33551104,180249677.13649553,3026.2648519517043,5171.335511040001,high_pd_adoption,-11799259.714651138,21.914536252895232,-9.094947017729282e-13,-32737986.576686412,63.30012414969394
