parameter,high,low,base_incremental_cost,min_incremental_cost,max_incremental_cost,range
health_state_utility_hd,-5985.700385016011,-5985.700385016011,-5985.700385016011,-5985.700385016011,-5985.700385016011,0.0
health_state_utility_pd,-5985.700385016011,-5985.700385016011,-5985.700385016011,-5985.700385016011,-5985.700385016011,0.0
health_state_utility_switched_pd_to_hd,-5985.700385016011,-5985.700385016011,-5985.700385016011,-5985.700385016011,-5985.700385016011,0.0
annual_hd_to_pd_switch_probability,-5720.209428119997,-6123.111809496011,-5985.700385016011,-6123.111809496011,-5720.209428119997,402.9023813760141
annual_cost_switched_pd_to_hd,-5529.11179101601,-6442.2889790159825,-5985.700385016011,-6442.2889790159825,-5529.11179101601,913.1771879999724
annual_cost_pd,-5398.4956004100095,-6629.731439100011,-5985.700385016011,-6629.731439100011,-5398.4956004100095,1231.2358386900014
annual_death_probability_pd,-7156.115551991999,-5326.831010424008,-5985.700385016011,-7156.115551991999,-5326.831010424008,1829.2845415679913
annual_pd_to_hd_switch_probability,-4953.614112216019,-6862.964561111978,-5985.700385016011,-6862.964561111978,-4953.614112216019,1909.3504488959588
annual_cost_hd,-7311.646672836039,-4659.754097196026,-5985.700385016011,-7311.646672836039,-4659.754097196026,2651.892575640013
annual_death_probability_hd,-4460.177752536038,-7126.426475255983,-5985.700385016011,-7126.426475255983,-4460.177752536038,2666.2487227199454
