strategy,cycle,start_cycle,cost,qalys,life_years,undiscounted_cost,undiscounted_qalys,undiscounted_life_years,discount_factor_costs,discount_factor_qalys
current_practice,1,0,34197.600000000006,0.5876,1.0,34197.600000000006,0.5876,1.0,1.0,1.0
current_practice,2,1,30480.672,0.5157019999999999,0.8799999999999999,30480.672,0.5157019999999999,0.8799999999999999,1.0,1.0
current_practice,3,2,27106.87944,0.45277844,0.7744,27106.87944,0.45277844,0.7744,1.0,1.0
current_practice,4,3,24062.6283168,0.3976623638,0.681472,24062.6283168,0.3976623638,0.681472,1.0,1.0
current_practice,5,4,21328.534654536,0.349350690836,0.59969536,21328.534654536,0.349350690836,0.59969536,1.0,1.0
increased_pd_uptake,1,0,32112.0,0.592,1.0,32112.0,0.592,1.0,1.0,1.0
increased_pd_uptake,2,1,28979.04,0.51854,0.88,28979.04,0.51854,0.88,1.0,1.0
increased_pd_uptake,3,2,26028.8328,0.45452480000000006,0.7744,26028.8328,0.45452480000000006,0.7744,1.0,1.0
increased_pd_uptake,4,3,23291.440176000004,0.39865412599999994,0.6814720000000001,23291.440176000004,0.39865412599999994,0.6814720000000001,1.0,1.0
increased_pd_uptake,5,4,20779.30105032,0.34982839711999997,0.5996953600000001,20779.30105032,0.34982839711999997,0.5996953600000001,1.0,1.0
