strategy,cycle,HD,PD,Switched_PD_to_HD,Death,cohort_alive,cohort_dead
current_practice,0,0.81,0.19,0.0,0.0,1.0,0.0
current_practice,1,0.7047,0.14679999999999999,0.028499999999999998,0.12000000000000001,0.8799999999999999,0.12000000000000001
current_practice,2,0.613089,0.11421099999999998,0.047099999999999996,0.22560000000000002,0.7744,0.22560000000000002
current_practice,3,0.53338743,0.08950491999999999,0.05857965,0.31852800000000003,0.681472,0.31852800000000003
current_practice,4,0.4640470641,0.0706724659,0.06497583,0.40030464,0.59969536,0.40030464
current_practice,5,0.403720945767,0.056231370748,0.06777960028499999,0.47226808319999997,0.5277319168,0.47226808319999997
increased_pd_uptake,0,0.7,0.3,0.0,0.0,1.0,0.0
increased_pd_uptake,1,0.609,0.226,0.045,0.12,0.88,0.12
increased_pd_uptake,2,0.52983,0.17107,0.0735,0.2256,0.7744,0.2256
increased_pd_uptake,3,0.46095210000000003,0.1301794,0.0903405,0.318528,0.6814720000000001,0.318528
increased_pd_uptake,4,0.401028327,0.099640483,0.09902655,0.40030464,0.5996953600000001,0.40030464
increased_pd_uptake,5,0.34889464449,0.07674783586,0.10208943645,0.4722680832,0.5277319168000001,0.4722680832
