annual_pd_cost,incremental_cost_per_patient
0.0,-11933.516590380008
500.0,-11775.665841830007
1000.0,-11617.81509327999
1500.0,-11459.964344730004
2000.0,-11302.113596180003
2500.0,-11144.262847630016
3000.0,-10986.412099079986
3500.0,-10828.561350530013
4000.0,-10670.710601980027
4500.0,-10512.859853429996
5000.0,-10355.00910488001
5500.0,-10197.15835632998
6000.0,-10039.307607779992
6500.0,-9881.456859230006
7000.0,-9723.60611067999
7500.0,-9565.755362130003
8000.0,-9407.904613580002
8500.0,-9250.05386503
9000.0,-9092.203116479985
9500.0,-8934.352367929983
10000.0,-8776.501619380011
10500.0,-8618.650870830024
11000.0,-8460.800122280023
11500.0,-8302.949373729993
12000.0,-8145.098625180006
12500.0,-7987.247876630005
13000.0,-7829.397128080003
13500.0,-7671.5463795299875
14000.0,-7513.695630980015
14500.0,-7355.844882429985
15000.0,-7197.994133880013
15500.0,-7040.143385329997
16000.0,-6882.292636779981
16500.0,-6724.441888230009
17000.0,-6566.5911396800075
17500.0,-6408.740391129992
18000.0,-6250.889642579976
18500.0,-6093.0388940299745
19000.0,-5935.188145480002
19500.0,-5777.337396930001
20000.0,-5619.486648380029
20500.0,-5461.635899829998
21000.0,-5303.785151279997
21500.0,-5145.934402729996
22000.0,-4988.0836541799945
22500.0,-4830.232905629993
23000.0,-4672.382157079992
23500.0,-4514.531408529991
24000.0,-4356.680659980018
24500.0,-4198.829911429988
25000.0,-4040.9791628799867
25500.0,-3883.1284143300145
26000.0,-3725.277665779984
26500.0,-3567.426917229983
27000.0,-3409.5761686799815
27500.0,-3251.72542012998
28000.0,-3093.874671580008
28500.0,-2936.0239230300067
29000.0,-2778.1731744799763
29500.0,-2620.322425930004
30000.0,-2462.4716773799737
30500.0,-2304.6209288300015
31000.0,-2146.770180279971
31500.0,-1988.919431729999
32000.0,-1831.0686831799976
32500.0,-1673.2179346299963
33000.0,-1515.367186079995
33500.0,-1357.5164375299937
34000.0,-1199.6656889799924
34500.0,-1041.814940429991
35000.0,-883.9641918799898
35500.0,-726.1134433300467
36000.0,-568.2626947799872
36500.0,-410.4119462299859
37000.0,-252.56119768001372
37500.0,-94.71044912998332
38000.0,63.14029941998888
38500.0,220.99104797001928
39000.0,378.8417965199915
39500.0,536.6925450699928
40000.0,694.5432936199941
40500.0,852.3940421699954
41000.0,1010.2447907199967
41500.0,1168.0955392699689
42000.0,1325.9462878199702
42500.0,1483.7970363699715
43000.0,1641.6477849200019
43500.0,1799.4985334700032
44000.0,1957.3492820200045
44500.0,2115.2000305700058
45000.0,2273.050779119978
45500.0,2430.9015276700084
46000.0,2588.7522762200097
46500.0,2746.603024769982
47000.0,2904.4537733200414
47500.0,3062.3045218700136
48000.0,3220.155270420015
48500.0,3378.006018969987
49000.0,3535.8567675199884
49500.0,3693.707516070048
50000.0,3851.558264619991
50500.0,4009.4090131699922
51000.0,4167.259761719994
51500.0,4325.110510270024
52000.0,4482.961258819967
52500.0,4640.812007369997
53000.0,4798.66275591997
53500.0,4956.51350447
54000.0,5114.364253020001
54500.0,5272.215001570003
55000.0,5430.065750120004
55500.0,5587.916498669976
56000.0,5745.767247220036
56500.0,5903.617995769979
57000.0,6061.46874431998
57500.0,6219.31949287001
58000.0,6377.170241419983
58500.0,6535.020989970013
59000.0,6692.871738519985
59500.0,6850.722487070016
60000.0,7008.573235620046
