parameter,high,low,base_incremental_qalys,min_incremental_qalys,max_incremental_qalys,range
annual_cost_hd,0.01045382848400056,0.01045382848400056,0.01045382848400056,0.01045382848400056,0.01045382848400056,0.0
annual_cost_pd,0.01045382848400056,0.01045382848400056,0.01045382848400056,0.01045382848400056,0.01045382848400056,0.0
annual_cost_switched_pd_to_hd,0.01045382848400056,0.01045382848400056,0.01045382848400056,0.01045382848400056,0.01045382848400056,0.0
annual_hd_to_pd_switch_probability,0.009942939820000163,0.01071868791399977,0.01045382848400056,0.009942939820000163,0.01071868791399977,0.0007757480939996064
annual_pd_to_hd_switch_probability,0.007187732684000192,0.013229980940000274,0.01045382848400056,0.007187732684000192,0.013229980940000274,0.006042248256000082
health_state_utility_switched_pd_to_hd,0.02676056398399984,-0.002591559916000019,0.01045382848400056,-0.002591559916000019,0.02676056398399984,0.02935212389999986
annual_death_probability_hd,0.034164754843998946,-0.007263659436000047,0.01045382848400056,-0.007263659436000047,0.034164754843998946,0.04142841427999899
annual_death_probability_pd,-0.02207068956400038,0.02892244322000037,0.01045382848400056,-0.02207068956400038,0.02892244322000037,0.05099313278400075
health_state_utility_pd,0.042023978193999945,-0.017959306255000307,0.01045382848400056,-0.017959306255000307,0.042023978193999945,0.05998328444900025
health_state_utility_hd,-0.044719870238999704,0.06987165787800009,0.01045382848400056,-0.044719870238999704,0.06987165787800009,0.1145915281169998
